40,40
80,40
120,40
160,40
200,40
240,40
280,40
320,40
360,40
400,40
440,40
520,40
560,40
600,40
640,40
680,40
720,40
760,40
800,40
840,40
880,40
920,40
40,80
280,80
440,80
520,80
680,80
840,80
920,80
40,120
80,120
120,120
160,120
200,120
240,120
280,120
360,120
400,120
440,120
520,120
560,120
600,120
640,120
680,120
760,120
800,120
840,120
920,120
200,160
360,160
520,160
680,160
760,160
840,160
920,160
40,200
80,200
120,200
160,200
200,200
240,200
280,200
320,200
360,200
400,200
440,200
480,200
520,200
560,200
600,200
640,200
680,200
760,200
840,200
920,200
40,240
200,240
320,240
440,240
480,240
600,240
760,240
840,240
920,240
40,280
80,280
120,280
200,280
240,280
280,280
320,280
400,280
440,280
480,280
520,280
600,280
640,280
680,280
720,280
760,280
800,280
840,280
880,280
920,280
40,320
120,320
320,320
600,320
800,320
40,360
120,360
160,360
200,360
240,360
280,360
320,360
360,360
400,360
440,360
480,360
520,360
560,360
600,360
640,360
680,360
720,360
760,360
800,360
840,360
880,360
920,360
40,400
120,400
200,400
280,400
440,400
520,400
840,400
920,400
40,440
80,440
120,440
200,440
280,440
320,440
360,440
400,440
440,440
520,440
560,440
600,440
680,440
720,440
760,440
800,440
840,440
920,440
40,480
200,480
280,480
360,480
520,480
600,480
680,480
920,480
40,520
80,520
120,520
160,520
200,520
240,520
280,520
360,520
400,520
440,520
480,520
520,520
600,520
640,520
680,520
720,520
760,520
800,520
840,520
880,520
920,520
